,year_month,us Sentiment Score-Polarity,us Sentiment Score-Subjectivity,us,says Sentiment Score-Polarity,says Sentiment Score-Subjectivity,says,trade Sentiment Score-Polarity,trade Sentiment Score-Subjectivity,trade,billion Sentiment Score-Polarity,billion Sentiment Score-Subjectivity,billion,new Sentiment Score-Polarity,new Sentiment Score-Subjectivity,new,china Sentiment Score-Polarity,china Sentiment Score-Subjectivity,china,ceo Sentiment Score-Polarity,ceo Sentiment Score-Subjectivity,ceo,deal Sentiment Score-Polarity,deal Sentiment Score-Subjectivity,deal,coronavirus Sentiment Score-Polarity,coronavirus Sentiment Score-Subjectivity,coronavirus,shares Sentiment Score-Polarity,shares Sentiment Score-Subjectivity,shares
0,2007-01-01,0.12681818181818183,0.27689393939393936,296.0,0.06937373737373738,0.3085050505050505,331.0,0.12115895562770562,0.3599117965367965,302.0,0.046603535353535355,0.22644300144300145,315.0,0.14153787878787877,0.42200126262626264,265.0,0.11958333333333333,0.43611111111111117,305.0,0.050497835497835486,0.39780032467532467,305.0,0.07225252525252523,0.32453156565656566,343.0,,,,0.21583333333333332,0.3677083333333333,376.0
1,2007-03-01,0.034249999999999996,0.217,328.0,-0.01749999999999999,0.20309523809523808,312.0,-0.008095238095238095,0.2526587301587302,116.0,0.025735294117647058,0.28161764705882353,180.0,0.1310673701298701,0.4997781385281385,240.0,0.0867941317941318,0.17078643578643582,254.0,0.19270833333333334,0.3604166666666667,226.0,-0.07920634920634921,0.3968253968253968,185.0,,,,0.15987012987012986,0.41920634920634914,190.0
2,2007-04-01,0.00277777777777778,0.2777777777777778,159.0,-0.015869218500797443,0.2798145933014354,311.0,,,,0.0003030303030303013,0.24175084175084174,205.0,0.051222222222222225,0.4451666666666666,283.0,0.12716666666666665,0.21588888888888888,262.0,0.15126262626262627,0.2722943722943723,131.0,0.07530568846358318,0.2552099946836789,274.0,0.35,0.35000000000000003,24.0,0.019687500000000004,0.4829791666666667,310.0
3,2007-05-01,0.04587310606060606,0.28200757575757573,297.0,0.05459911616161617,0.2806597222222222,388.0,0.07187666135034557,0.31174147489936965,306.0,0.05098814229249012,0.21162714097496704,341.0,0.14409848484848484,0.4646893939393939,201.0,0.06602182539682538,0.1992162698412698,310.0,0.11555555555555556,0.25425925925925924,221.0,0.14396929824561402,0.29777046783625727,230.0,,,,0.09569377990430622,0.3526315789473684,269.0
4,2007-06-01,0.10657894736842105,0.29271664008506115,338.0,0.011666666666666664,0.19625,267.0,0.03559808612440191,0.3505263157894737,281.0,0.04940711462450592,0.1254874835309618,326.0,0.1197222222222222,0.49930555555555556,239.0,0.05518939393939394,0.16111742424242423,263.0,0.09922180993609565,0.222075345289631,412.0,0.055773904458114976,0.31023771550087337,290.0,,,,0.12624269005847952,0.2544590643274854,313.0
5,2007-07-01,0.13528977272727272,0.25765340909090906,340.0,0.026510721247563356,0.30214424951267055,329.0,0.196875,0.49843750000000003,282.0,-0.037500000000000006,0.3875,75.0,0.1363405934343434,0.47269318181818176,281.0,0.12037878787878786,0.2933712121212121,333.0,0.0,0.0,49.0,0.07028409090909091,0.3747664141414141,294.0,,,,0.117406015037594,0.30582706766917295,322.0
6,2007-08-01,0.08202985452985452,0.31410602160602163,593.0,0.07708558802308804,0.3092072510822511,617.0,0.14823015873015877,0.3609761904761905,378.0,0.09547397047397048,0.3761810411810412,677.0,0.108865794699128,0.44184775101441776,547.0,0.012224657287157279,0.18810137085137085,532.0,0.08348689598689599,0.2996621621621621,620.0,0.025001107566897048,0.2979687223108276,631.0,,,,0.12980794790005315,0.33657961190855934,588.0
7,2007-09-01,0.04384370015948963,0.26141812865497077,333.0,0.02593975468975469,0.28794733044733045,294.0,0.2290381493506493,0.44271397005772006,174.0,0.06476190476190476,0.15990079365079365,307.0,0.16916666666666663,0.4108333333333333,266.0,0.055625,0.15253472222222222,276.0,0.0812536075036075,0.22739718614718618,321.0,0.13660389610389612,0.5069733044733045,314.0,0.0,0.0,11.0,0.15964912280701754,0.2833333333333334,279.0
8,2007-10-01,0.051818181818181805,0.2932386363636364,314.0,0.08305555555555556,0.3784027777777778,371.0,0.03773809523809524,0.15447420634920633,274.0,0.04208333333333334,0.12416666666666669,295.0,0.18343749999999995,0.4796780303030304,222.0,0.0125,0.13374999999999998,298.0,0.0402064393939394,0.30692424242424243,356.0,0.08535087719298246,0.3862795878585352,328.0,0.32499999999999996,0.7250000000000001,53.0,0.16298416495784918,0.3283891547049442,288.0
9,2007-11-01,0.10655465367965367,0.3929401154401154,375.0,0.012601010101010102,0.3012626262626263,360.0,0.11435921717171718,0.33191729797979797,299.0,0.19256250000000003,0.39906250000000004,291.0,0.10032828282828281,0.42840909090909085,212.0,-0.004090909090909091,0.02053030303030303,241.0,0.08361952861952861,0.30140572390572384,286.0,0.166013468013468,0.3123350168350168,367.0,,,,0.08942241968557758,0.21781537176274018,296.0
